"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"808","RT @DavidColtart: It appears as if the Mnangagwa regime has shut down @Twitter @WhatsApp @facebook in #Zimbabwe this morning to stem the fl<U+2026>",FALSE,0,NA,2019-01-15 12:09:39,FALSE,NA,"1085146995197652995",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZukaDavison",184,TRUE,FALSE,NA,NA
"809","@DavidColtart @MandyWiener @Twitter @WhatsApp @facebook @UKinZimbabwe @euinzim @UKSimonT @burke_jason So,no different from Mugabe then?",FALSE,0,"DavidColtart",2019-01-15 12:03:57,FALSE,"1085085263620198400","1085145561085431809","18060854","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","roly_i",0,FALSE,FALSE,NA,NA
"810","RT @DavidColtart: It appears as if the Mnangagwa regime has shut down @Twitter @WhatsApp @facebook in #Zimbabwe this morning to stem the fl<U+2026>",FALSE,0,NA,2019-01-15 12:03:56,FALSE,NA,"1085145555880345600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MallyRSA",184,TRUE,FALSE,NA,NA
"811","RT @DavidColtart: It appears as if the Mnangagwa regime has shut down @Twitter @WhatsApp @facebook in #Zimbabwe this morning to stem the fl<U+2026>",FALSE,0,NA,2019-01-15 12:01:58,FALSE,NA,"1085145062999248896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","roly_i",184,TRUE,FALSE,NA,NA
"812","RT @DavidColtart: It appears as if the Mnangagwa regime has shut down @Twitter @WhatsApp @facebook in #Zimbabwe this morning to stem the fl<U+2026>",FALSE,0,NA,2019-01-15 12:01:56,FALSE,NA,"1085145053742411776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","saint_zim",184,TRUE,FALSE,NA,NA
"813","RT @makonia2010: @DavidColtart @Twitter @WhatsApp @facebook @UKinZimbabwe @euinzim @UKSimonT @burke_jason Harare is totally shutdown. The t<U+2026>",FALSE,0,NA,2019-01-15 11:59:46,FALSE,NA,"1085144510026403841",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MDWachtmeister",13,TRUE,FALSE,NA,NA
"814","RT @DavidColtart: It appears as if the Mnangagwa regime has shut down @Twitter @WhatsApp @facebook in #Zimbabwe this morning to stem the fl<U+2026>",FALSE,0,NA,2019-01-15 11:58:47,FALSE,NA,"1085144259760660480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mckaytracey",184,TRUE,FALSE,NA,NA
"815","@WhatsApp can I get signed to fix this qwaba <U+0001F911> https://t.co/0kKjGS57uB",FALSE,0,"WhatsApp",2019-01-15 11:58:15,FALSE,NA,"1085144127459737600","40148479","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KumiNkuta",0,FALSE,FALSE,NA,NA
"816","@peterbotting @DavidColtart @Twitter @WhatsApp @facebook @UKinZimbabwe @euinzim @UKSimonT @burke_jason Was it ever there?",FALSE,2,"peterbotting",2019-01-15 11:58:11,FALSE,"1085088874378993664","1085144108543496192","14221950","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","kudzie4ever",0,FALSE,FALSE,NA,NA
"817","RT @DavidColtart: It appears as if the Mnangagwa regime has shut down @Twitter @WhatsApp @facebook in #Zimbabwe this morning to stem the fl<U+2026>",FALSE,0,NA,2019-01-15 11:58:06,FALSE,NA,"1085144091145457665",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EmmaSadleir",184,TRUE,FALSE,NA,NA
"818","RT @sid_kamal: #Indian2 Fever in my @WhatsApp  Status is Unbelievable 

@shankarshanmugh + @ikamalhaasan The two Great Mind of Indian Cinem<U+2026>",FALSE,0,NA,2019-01-15 11:56:45,FALSE,NA,"1085143750098055169",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jeevakalaignani",30,TRUE,FALSE,NA,NA
"819","RT @DavidColtart: It appears as if the Mnangagwa regime has shut down @Twitter @WhatsApp @facebook in #Zimbabwe this morning to stem the fl<U+2026>",FALSE,0,NA,2019-01-15 11:55:58,FALSE,NA,"1085143550961033217",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","kudzie4ever",184,TRUE,FALSE,NA,NA
"820","RT @DavidColtart: It appears as if the Mnangagwa regime has shut down @Twitter @WhatsApp @facebook in #Zimbabwe this morning to stem the fl<U+2026>",FALSE,0,NA,2019-01-15 11:54:04,FALSE,NA,"1085143074483982336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fchihumbiri",184,TRUE,FALSE,NA,NA
